,Date,Video_name,Views,Likes,Comments,Hashtags,Duration
0,2021-12-26T15:43:47Z,Spiderman fans please explain yourselves..,1491856,128992,4128,"['ad\n\nNew Tsuki has launched 👘: https://bit.ly/3lpOZZq\n\n\U0001f9ce', 'Subscribe\U0001f9ce\n🥤Gfuel(affiliate): https://gfuel.ly/31Kargr\n', 'Code ', ""Pewdiepie\n\n✨My Stores✨\n👕 Merch: https://represent.com/store/pewdiepie\n👘 Tsuki: https://tsuki.market/\n👔 Based: https://www.based.gg\n\n📱Customized Devices: https://rhinoshield.io/pewdiepie\n\n⚙️My Setup (affiliate links)⚙️\n\U0001fa91 Chair: https://bit.ly/3r51IUS\n⌨️ 🖱️ Keyboard & Mouse: https://ghostkeyboards.com/pages/pewdiepie\n\n🕹️ Pewdiepie's Pixelings\niOS: https://buff.ly/2pNG0aT\nAndroid: https://buff.ly/34C68nZ\n\n🕹️Pewdiepie’s Tuber Simulator\niOS: https://apps.apple.com/us/app/pewdiepies-tuber-simulator/id1093190533\nAndroid: https://play.google.com/store/apps/details?id=com.outerminds.tubular&hl=en_GB&gl=US\n\n🎮Arkade Blaster Controller ("", 'ad): https://youtu.be/FQgLsYOKP8w Arkade Blaster Pro!\n\n⛰️NordVPN DOWNLOAD (affiliate link)⛰️\nGo to https://NordVPN.com/pewdiepie and use code PEWDIEPIE to get a 2-year plan plus 1 additional month with a huge discount. It’s risk free with Nord’s 30 day money-back guarantee!']",PT10M30S
1,2021-12-22T19:11:27Z,Next Gen Graphics Is Kinda Nuts..,2678694,168091,6323,"['Subscribe\U0001f9ce\n🥤Gfuel(affiliate): https://gfuel.ly/31Kargr\n', 'Code ', 'Pewdiepie']",PT11M27S
2,2021-12-20T14:01:11Z,"You Laugh You Win A BILLION $$$ (maybe, its not impossible that it would happen)",3135226,248601,5265,"['Subscribe\U0001f9ce\n🥤Gfuel(affiliate): https://gfuel.ly/31Kargr\n', 'Code ', ""Pewdiepie\n\n✨My Stores✨\n👕 Merch: https://represent.com/store/pewdiepie\n👘 Tsuki: https://tsuki.market/\n👔 Based: https://www.based.gg\n\n📱Customized Devices: https://rhinoshield.io/pewdiepie\n\n⚙️My Setup (affiliate links)⚙️\n\U0001fa91 Chair: https://bit.ly/3r51IUS\n⌨️ 🖱️ Keyboard & Mouse: https://ghostkeyboards.com/pages/pewdiepie\n\n🕹️ Pewdiepie's Pixelings\niOS: https://buff.ly/2pNG0aT\nAndroid: https://buff.ly/34C68nZ\n\n🕹️Pewdiepie’s Tuber Simulator\niOS: https://apps.apple.com/us/app/pewdiepies-tuber-simulator/id1093190533\nAndroid: https://play.google.com/store/apps/details?id=com.outerminds.tubular&hl=en_GB&gl=US\n\n🎮Arkade Blaster Controller ("", 'ad): https://youtu.be/FQgLsYOKP8w Arkade Blaster Pro!\n\n⛰️NordVPN DOWNLOAD (affiliate link)⛰️\nGo to https://NordVPN.com/pewdiepie and use code PEWDIEPIE to get a 2-year plan plus 1 additional month with a huge discount. It’s risk free with Nord’s 30 day money-back guarantee!']",PT10M14S
3,2021-12-20T15:59:32Z,Five Nights at Freddy's Security Breach Gameplay Markiplier Reaction 4k 8k HD Trailer Secret Full,2058838,137306,4842,"['AD - Get my NEW G FUEL Pewdiepie Snö Shaker!!: https://gfuel.ly/pdp-sno-shaker\n\nNew Tsuki has launched 👘: https://bit.ly/3lpOZZq\n\n\U0001f9ce', 'Subscribe\U0001f9ce\n🥤Gfuel(affiliate): https://gfuel.ly/31Kargr\n', 'Code ', ""Pewdiepie\n\n✨My Stores✨\n👕 Merch: https://represent.com/store/pewdiepie\n👘 Tsuki: https://tsuki.market/\n👔 Based: https://www.based.gg\n\n📱Customized Devices: https://rhinoshield.io/pewdiepie\n\n⚙️My Setup (affiliate links)⚙️\n\U0001fa91 Chair: https://bit.ly/3r51IUS\n⌨️ 🖱️ Keyboard & Mouse: https://ghostkeyboards.com/pages/pewdiepie\n\n🕹️ Pewdiepie's Pixelings\niOS: https://buff.ly/2pNG0aT\nAndroid: https://buff.ly/34C68nZ\n\n🕹️Pewdiepie’s Tuber Simulator\niOS: https://apps.apple.com/us/app/pewdiepies-tuber-simulator/id1093190533\nAndroid: https://play.google.com/store/apps/details?id=com.outerminds.tubular&hl=en_GB&gl=US\n\n🎮Arkade Blaster Controller ("", 'ad): https://youtu.be/FQgLsYOKP8w Arkade Blaster Pro!\n\n⛰️NordVPN DOWNLOAD (affiliate link)⛰️\nGo to https://NordVPN.com/pewdiepie and use code PEWDIEPIE to get a 2-year plan plus 1 additional month with a huge discount. It’s risk free with Nord’s 30 day money-back guarantee!']",PT19M29S
4,2021-12-17T15:16:43Z,I Found The New Forbidden Minecraft Block..,2241987,165961,5810,"['Subscribe\U0001f9ce\n🥤Gfuel(affiliate): https://gfuel.ly/31Kargr\n', 'Code ', ""Pewdiepie\n\n✨My Stores✨\n👕 Merch: https://represent.com/store/pewdiepie\n👘 Tsuki: https://tsuki.market/\n👔 Based: https://www.based.gg\n\n📱Customized Devices: https://rhinoshield.io/pewdiepie\n\n⚙️My Setup (affiliate links)⚙️\n\U0001fa91 Chair: https://bit.ly/3r51IUS\n⌨️ 🖱️ Keyboard & Mouse: https://ghostkeyboards.com/pages/pewdiepie\n\n🕹️ Pewdiepie's Pixelings\niOS: https://buff.ly/2pNG0aT\nAndroid: https://buff.ly/34C68nZ\n\n🕹️Pewdiepie’s Tuber Simulator\niOS: https://apps.apple.com/us/app/pewdiepies-tuber-simulator/id1093190533\nAndroid: https://play.google.com/store/apps/details?id=com.outerminds.tubular&hl=en_GB&gl=US\n\n🎮Arkade Blaster Controller ("", 'ad): https://youtu.be/FQgLsYOKP8w Arkade Blaster Pro!\n\n⛰️NordVPN DOWNLOAD (affiliate link)⛰️\nGo to https://NordVPN.com/pewdiepie and use code PEWDIEPIE to get a 2-year plan plus 1 additional month with a huge discount. It’s risk free with Nord’s 30 day money-back guarantee!']",PT13M25S
5,2021-12-16T16:47:49Z,NFT Has hit a new low...,2409866,178618,6933,"['Subscribe\U0001f9ce\n🥤Gfuel(affiliate): https://gfuel.ly/31Kargr\n', 'Code ', ""Pewdiepie\n\n✨My Stores✨\n👕 Merch: https://represent.com/store/pewdiepie\n👘 Tsuki: https://tsuki.market/\n👔 Based: https://www.based.gg\n\n📱Customized Devices: https://rhinoshield.io/pewdiepie\n\n⚙️My Setup (affiliate links)⚙️\n\U0001fa91 Chair: https://bit.ly/3r51IUS\n⌨️ 🖱️ Keyboard & Mouse: https://ghostkeyboards.com/pages/pewdiepie\n\n🕹️ Pewdiepie's Pixelings\niOS: https://buff.ly/2pNG0aT\nAndroid: https://buff.ly/34C68nZ\n\n🕹️Pewdiepie’s Tuber Simulator\niOS: https://apps.apple.com/us/app/pewdiepies-tuber-simulator/id1093190533\nAndroid: https://play.google.com/store/apps/details?id=com.outerminds.tubular&hl=en_GB&gl=US\n\n🎮Arkade Blaster Controller ("", 'ad): https://youtu.be/FQgLsYOKP8w Arkade Blaster Pro!\n\n⛰️NordVPN DOWNLOAD (affiliate link)⛰️\nGo to https://NordVPN.com/pewdiepie and use code PEWDIEPIE to get a 2-year plan plus 1 additional month with a huge discount. It’s risk free with Nord’s 30 day money-back guarantee!']",PT8M20S
6,2021-12-15T17:35:00Z,Gary Vee is a Wee Bit Cringe,1944015,127706,6786,"['Subscribe\U0001f9ce\n🥤Gfuel(affiliate): https://gfuel.ly/31Kargr\n', 'Code ', ""Pewdiepie\n\n✨My Stores✨\n👕 Merch: https://represent.com/store/pewdiepie\n👘 Tsuki: https://tsuki.market/\n👔 Based: https://www.based.gg\n\n📱Customized Devices: https://rhinoshield.io/pewdiepie\n\n⚙️My Setup (affiliate links)⚙️\n\U0001fa91 Chair: https://bit.ly/3r51IUS\n⌨️ 🖱️ Keyboard & Mouse: https://ghostkeyboards.com/pages/pewdiepie\n\n🕹️ Pewdiepie's Pixelings\niOS: https://buff.ly/2pNG0aT\nAndroid: https://buff.ly/34C68nZ\n\n🕹️Pewdiepie’s Tuber Simulator\niOS: https://apps.apple.com/us/app/pewdiepies-tuber-simulator/id1093190533\nAndroid: https://play.google.com/store/apps/details?id=com.outerminds.tubular&hl=en_GB&gl=US\n\n🎮Arkade Blaster Controller ("", 'ad): https://youtu.be/FQgLsYOKP8w Arkade Blaster Pro!\n\n⛰️NordVPN DOWNLOAD (affiliate link)⛰️\nGo to https://NordVPN.com/pewdiepie and use code PEWDIEPIE to get a 2-year plan plus 1 additional month with a huge discount. It’s risk free with Nord’s 30 day money-back guarantee!']",PT17M10S
7,2021-12-14T16:00:15Z,I Fell Into The New Minecraft Lush Cave!,3289589,235803,7494,"['AD - Get the GHOST PewDiePie Tambourine Combo👊🏼: https://ghostkeyboards.com/pages/pewdiepie Combo consists of - New K1 Pro, PDP Wrist Rest, BroFist 2.0, M1 Mouse, and much more!\n\nNew Tsuki has launched 👘: https://bit.ly/3lpOZZq\n\n\U0001f9ce', 'Subscribe\U0001f9ce\n🥤Gfuel(affiliate): https://gfuel.ly/31Kargr\n', 'Code ', ""Pewdiepie\n\n✨My Stores✨\n👕 Merch: https://represent.com/store/pewdiepie\n👘 Tsuki: https://tsuki.market/\n👔 Based: https://www.based.gg\n\n📱Customized Devices: https://rhinoshield.io/pewdiepie\n\n⚙️My Setup (affiliate links)⚙️\n\U0001fa91 Chair: https://bit.ly/3r51IUS\n⌨️ 🖱️ Keyboard & Mouse: https://ghostkeyboards.com/pages/pewdiepie\n\n🕹️ Pewdiepie's Pixelings\niOS: https://buff.ly/2pNG0aT\nAndroid: https://buff.ly/34C68nZ\n\n🕹️Pewdiepie’s Tuber Simulator\niOS: https://apps.apple.com/us/app/pewdiepies-tuber-simulator/id1093190533\nAndroid: https://play.google.com/store/apps/details?id=com.outerminds.tubular&hl=en_GB&gl=US\n\n🎮Arkade Blaster Controller ("", 'ad): https://youtu.be/FQgLsYOKP8w Arkade Blaster Pro!\n\n⛰️NordVPN DOWNLOAD (affiliate link)⛰️\nGo to https://NordVPN.com/pewdiepie and use code PEWDIEPIE to get a 2-year plan plus 1 additional month with a huge discount. It’s risk free with Nord’s 30 day money-back guarantee!']",PT16M56S
8,2021-12-13T14:06:47Z,Bad Design Deserves To Go To Jail.,3678446,266438,5198,"['Subscribe\U0001f9ce\n🥤Gfuel(affiliate): https://gfuel.ly/31Kargr\n', 'Code ', ""Pewdiepie\n\n✨My Stores✨\n👕 Merch: https://represent.com/store/pewdiepie\n👘 Tsuki: https://tsuki.market/\n👔 Based: https://www.based.gg\n\n📱Customized Devices: https://rhinoshield.io/pewdiepie\n\n⚙️My Setup (affiliate links)⚙️\n\U0001fa91 Chair: https://bit.ly/3r51IUS\n⌨️ 🖱️ Keyboard & Mouse: https://ghostkeyboards.com/pages/pewdiepie\n\n🕹️ Pewdiepie's Pixelings\niOS: https://buff.ly/2pNG0aT\nAndroid: https://buff.ly/34C68nZ\n\n🕹️Pewdiepie’s Tuber Simulator\niOS: https://apps.apple.com/us/app/pewdiepies-tuber-simulator/id1093190533\nAndroid: https://play.google.com/store/apps/details?id=com.outerminds.tubular&hl=en_GB&gl=US\n\n🎮Arkade Blaster Controller ("", 'ad): https://youtu.be/FQgLsYOKP8w Arkade Blaster Pro!\n\n⛰️NordVPN DOWNLOAD (affiliate link)⛰️\nGo to https://NordVPN.com/pewdiepie and use code PEWDIEPIE to get a 2-year plan plus 1 additional month with a huge discount. It’s risk free with Nord’s 30 day money-back guarantee!']",PT10M3S
9,2021-12-10T14:12:39Z,They figured out atoms existed thousands of years ago but we are still depressed lmao,2046749,179363,8609,"['Subscribe\U0001f9ce\n🥤Gfuel(affiliate): https://gfuel.ly/31Kargr\n', 'Code ', ""Pewdiepie\n\n✨My Stores✨\n👕 Merch: https://represent.com/store/pewdiepie\n👘 Tsuki: https://tsuki.market/\n👔 Based: https://www.based.gg\n\n📱Customized Devices: https://rhinoshield.io/pewdiepie\n\n⚙️My Setup (affiliate links)⚙️\n\U0001fa91 Chair: https://bit.ly/3r51IUS\n⌨️ 🖱️ Keyboard & Mouse: https://ghostkeyboards.com/pages/pewdiepie\n\n🕹️ Pewdiepie's Pixelings\niOS: https://buff.ly/2pNG0aT\nAndroid: https://buff.ly/34C68nZ\n\n🕹️Pewdiepie’s Tuber Simulator\niOS: https://apps.apple.com/us/app/pewdiepies-tuber-simulator/id1093190533\nAndroid: https://play.google.com/store/apps/details?id=com.outerminds.tubular&hl=en_GB&gl=US\n\n🎮Arkade Blaster Controller ("", 'ad): https://youtu.be/FQgLsYOKP8w Arkade Blaster Pro!\n\n⛰️NordVPN DOWNLOAD (affiliate link)⛰️\nGo to https://NordVPN.com/pewdiepie and use code PEWDIEPIE to get a 2-year plan plus 1 additional month with a huge discount. It’s risk free with Nord’s 30 day money-back guarantee!']",PT11M59S
